date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:47:18	188498/188498	---M-Z	200	added ('OK')	text/html	etag:%2214591c4266ea794ff704c06293ca7681%22	https://solitary-band-5104.animaapp.io/	C:/My%20Web%20Sites/landing_respon/solitary-band-5104.animaapp.io/index.html	(from )
02:47:24	10834/10834	---M--	404	error ('Not%20Found')	text/html	etag:%225e4efb81f812b5374b4acb1ff4d7db3f%22	https://solitary-band-5104.animaapp.io/robots.txt		(from )
02:47:25	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2003%20Mar%202025%2010:47:24%20GMT	https://animaproject.s3.amazonaws.com/home/favicon.png	C:/My%20Web%20Sites/landing_respon/animaproject.s3.amazonaws.com/home/favicon.0.delayed	(from https://solitary-band-5104.animaapp.io/)
02:47:26	192/192	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202025%2010:47:25%20GMT	https://solitary-band-5104.animaapp.io/load.js	C:/My%20Web%20Sites/landing_respon/solitary-band-5104.animaapp.io/load.html	(from https://solitary-band-5104.animaapp.io/)
02:47:29	183898/183898	---M--	200	added ('OK')	application/javascript	etag:%221fd4aab91b972c26a27591d7e53a900a%22	https://solitary-band-5104.animaapp.io/hotspots.js	C:/My%20Web%20Sites/landing_respon/solitary-band-5104.animaapp.io/hotspots.js	(from https://solitary-band-5104.animaapp.io/)
02:47:29	212/212	---M--	200	added ('OK')	application/javascript	etag:%22d40960820066d6e5e7f42d4e72ef8051%22	https://solitary-band-5104.animaapp.io/overrides.js	C:/My%20Web%20Sites/landing_respon/solitary-band-5104.animaapp.io/overrides.js	(from https://solitary-band-5104.animaapp.io/)
02:47:31	39192/39192	---M--	200	added ('OK')	application/javascript	etag:%225be4698bc59f3d1bd83034fccd50af7f%22	https://animaapp.s3.amazonaws.com/js/timeline.js	C:/My%20Web%20Sites/landing_respon/animaapp.s3.amazonaws.com/js/timeline.js	(from https://solitary-band-5104.animaapp.io/)
02:47:32	773/773	---M-Z	200	added ('OK')	text/css	etag:%2264987d97-1bd%22	https://cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	C:/My%20Web%20Sites/landing_respon/cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	(from https://solitary-band-5104.animaapp.io/)
02:47:34	0/0	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Mar%202025%2010:47:32%20GMT	https://px.animaapp.com/656b131b6922aedfb93f70b8.656b131c6922aedfb93f70bb.mwh6PRc.hch.png	C:/My%20Web%20Sites/landing_respon/px.animaapp.com/656b131b6922aedfb93f70b8.656b131c6922aedfb93f70bb.mwh6PRc.hch.6.delayed	(from https://solitary-band-5104.animaapp.io/)
02:47:35	1671/1671	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202025%2010:47:34%20GMT	https://solitary-band-5104.animaapp.io/launchpad-js/launchpad-banner.js	C:/My%20Web%20Sites/landing_respon/solitary-band-5104.animaapp.io/launchpad-js/launchpad-banner.html	(from https://solitary-band-5104.animaapp.io/)
02:47:36	0/0	---M--	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://animaapp.s3.amazonaws.com/static/restart-btn.min.js	C:/My%20Web%20Sites/landing_respon/animaapp.s3.amazonaws.com/static/restart-btn.min.8.delayed	(from https://solitary-band-5104.animaapp.io/)
